"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)"
2026-03-10,2026-03-16,"[C04] ZONA DE ESCALA CBO — Cópia",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia — Cópia",inactive,,,0,0,,15,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [C02] 02/09 (CBO) 1-1-3 — Cópia",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[F3] (PTEST) 06/10 ABO",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia",inactive,,,0,0,,140,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [I8] 09/10 (CBO) 1-1-3",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0 - 01 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[OO] VIDEO VIEW",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"(F3) [V04] ESCALA 1-1-1 |P.02| 05/11 (ABO) = 247/DIA",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) =",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia",inactive,,,0,0,,250,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 -  [V20] H 25-44 (1-1-1)",inactive,,,0,0,,500,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 - [V44] TESTE DE PUBLICOS (OPEN) 1-1-1  VSL 2",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",inactive,2,actions:offsite_conversion.fb_pixel_purchase,6474,1.278344,144.17,"Usando o orçamento do conjunto de anúncios",0,288.34,8276,34.840503,82,3.516341,0.990817,121,1.462059,2.382975,,,,,,,9,,9,,,32.037778,2,,2,,,144.17
2026-03-10,2026-03-16,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [1]",active,6,actions:offsite_conversion.fb_pixel_purchase,6729,2.729975,211.45666667,"Usando o orçamento do conjunto de anúncios",0,1268.74,18370,69.065868,217,5.846728,1.181274,326,1.774633,3.89184,,,,,,,31,,31,,,40.927097,6,,6,,,211.456667
2026-03-10,2026-03-16,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [1]",active,13,actions:offsite_conversion.fb_pixel_purchase,7686,3.055946,116.93307692,"Usando o orçamento do conjunto de anúncios",0,1520.13,23488,64.719431,269,5.651041,1.145266,413,1.758345,3.680702,,,,,,,49,,49,,,31.023061,13,,13,,,116.933077
2026-03-10,2026-03-16,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",inactive,3,actions:offsite_conversion.fb_pixel_purchase,9547,1.1766,61.6,"Usando o orçamento do conjunto de anúncios",0,184.8,11233,16.451527,68,2.717647,0.605359,127,1.130597,1.455118,,,,,,,12,,12,,,15.4,3,,3,,,61.6
2026-03-10,2026-03-16,"[21/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [AD188] [6]",inactive,8,actions:offsite_conversion.fb_pixel_purchase,76047,1.322919,232.2,600,Diário,1857.6,100604,18.464475,616,3.015584,0.612302,1063,1.056618,1.747507,,,,,,,78,,78,,,23.815385,8,,8,,,232.2
2026-03-10,2026-03-16,"[24/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [1]",active,26,actions:offsite_conversion.fb_pixel_purchase,49966,2.619361,172.94846154,"Usando o orçamento do conjunto de anúncios",0,4496.66,130879,34.357384,1192,3.772366,0.910765,2317,1.770337,1.940725,,,,,,,141,,141,,,31.891206,26,,26,,,172.948462
2026-03-10,2026-03-16,"[08/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [BC] [9]",inactive,,,18,1.055556,,500,Diário,0.94,19,49.473684,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[08/03/26] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [CBO] [AD182] [6]",inactive,,,596,1.187919,,120,Diário,51.89,708,73.29096,7,7.412857,0.988701,9,1.271186,5.765556,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[10/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [AD17] [6]",inactive,5,actions:offsite_conversion.fb_pixel_purchase,32033,1.447258,353.198,500,Diário,1765.99,46360,38.092968,479,3.686827,1.033218,975,2.103106,1.811272,,,,,,,60,,60,,,29.433167,5,,5,,,353.198
2026-03-10,2026-03-16,"[12/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [ESCALA] [6]",active,11,actions:offsite_conversion.fb_pixel_purchase,34705,1.515949,155.86454545,400,Diário,1714.51,52611,32.588432,523,3.278222,0.994089,1084,2.060406,1.581651,,,,,,,57,,57,,,30.079123,11,,11,,,155.864545
2026-03-10,2026-03-16,"[12/03/26] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [CBO] [ESCALA] [6]",active,6,actions:offsite_conversion.fb_pixel_purchase,25675,1.802337,187.755,200,Diário,1126.53,46275,24.344246,332,3.393163,0.71745,502,1.084819,2.244084,,,,,,,33,,33,,,34.137273,6,,6,,,187.755
2026-03-10,2026-03-16,"[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia",inactive,,,0,0,,15,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[C01] ZONA DE FORMAÇÃO (COMPRA) — Cópia",inactive,,,0,0,,25,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[00] ZONA DE ESCALA (ABO)",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"[00] ZONA DE ESCALA VERTICAL",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 - [V2,V3,V4] 01/10 (ABO) 1-1-3",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F1 - [IMAGE STORIES TEST] 01/10 (ABO) 1-5-1",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F4 - VALIDAÇÃO DO PÚBLICO {PB. 01 OPEN} (CBO) 1-3-3",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [C04] 03/10 (CBO) 1-1-3",inactive,,,0,0,,85,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia",inactive,,,0,0,,65,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia",inactive,,,0,0,,60,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"(F3) [V10] ESCALA 1-1-1 |P.01| 05/11 (ABO) = 50/DIA",inactive,,,0,0,,40,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F7 - ESCALA VERTICAL CRIATIVO [PB.02]  (INSTAGRAM HOMEM 25-45)  (CBO) 1-5-1",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F7 - 02 ESCALA VERTICAL CRIATIVO (CBO) 1-3-1",inactive,,,0,0,,300,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0 - 04 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1",inactive,,,0,0,,250,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0 - 03 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0 - 06 ESCALA DIÁRIA 33-44 {PB. 01 OPEN} (CBO) 1-1-1",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F6 - [V04] 01 ESCALA VERTICAL PÚBLICO (CBO) 1-3-1",inactive,,,0,0,,40,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F0 -  [V04] (VLS A/B) 1-1-1",inactive,,,0,0,,60,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia — Cópia",inactive,,,0,0,,6,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia — Cópia — Cópia — Cópia — Cópia",inactive,,,0,0,,6,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V10] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = 50/DIA — Cópia — Cópia",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V04] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = 50/DIA — Cópia",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V38] H 22 - 45 - INSTA (1-1-1)",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  OPEN 22-45 HM - INSTA (1-1-X)",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |24-44INSTA| VSL2 ESCALA 1 — Cópia",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F1 - [V16] VSL 1 - TESTE CRIATIVO — Cópia",inactive,,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F2.02 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V04] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia — Cópia",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V23] LAL 1%",inactive,,,0,0,,100,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V38] - LAL 1% (1-1-1)",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V20] H 22 - 45 - INSTA+ FACE (1-1-1)",inactive,,,0,0,,50,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1)",inactive,,,0,0,,250,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia",inactive,,,0,0,,250,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
2026-03-10,2026-03-16,"F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia",inactive,,,0,0,,150,Diário,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,
