date,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,impressions,reach,clicks,spend,cpc,ctr,cpm,frequency,results,result_rate,purchase_value,roas,delta_spend_pct,delta_results_pct,checkout_initiations,checkout_rate,quality_ranking,engagement_ranking,conversion_ranking
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C02] 02/09 (CBO) 1-1-3 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F3] (PTEST) 06/10 ABO,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [I8] 09/10 (CBO) 1-1-3,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 - 01 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[OO] VIDEO VIEW,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,(F3) [V04] ESCALA 1-1-1 |P.02| 05/11 (ABO) = 247/DIA,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) =,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V20] H 25-44 (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 - [V44] TESTE DE PUBLICOS (OPEN) 1-1-1  VSL 2,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",,,,,8276,6474,82,288.34,3.5163,0.9908,34.8405,1.28,2.0,0.000242,0.0,0.0,,,,,,,
2026-03-10,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [1]",,,,,18370,6729,217,1268.74,5.8467,1.1813,69.0659,2.73,6.0,0.000327,0.0,0.0,,,,,,,
2026-03-10,,"[13/12/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [1]",,,,,23488,7686,269,1520.13,5.651,1.1453,64.7194,3.06,13.0,0.000553,0.0,0.0,,,,,,,
